review,rating,date,bank,source,LemmatizedText
thank you,5,2025-07-30,CBE,Google Play,thank
they been freezing a transfered money till the time they chose chose it to be delivered bruh,1,2025-07-30,CBE,Google Play,freeze transfered money till time choose chose deliver bruh
how updated this app,5,2025-07-30,CBE,Google Play,update app
Time is Gold,5,2025-07-28,CBE,Google Play,time gold
this app is so amazing a use it every time when I make payments,5,2025-07-27,CBE,Google Play,app amazing use time payment
thanks CBE,5,2025-07-25,CBE,Google Play,thanks cbe
"I am using this service from abroad, which i have active account in Ethiopia. Anytime I want support family, I easily sent funds to my CBE bank using my abroad debit or visa credit and transfer to their bank. so recommend diaspora to open bank account whenever they going back home. it helps a lot . 1st. They can easily send money from their abroad bank account to their CEB, Awash,Oromia bank whatever. 2nd, They don't need family to withdraw money for them to use it. They have privacy.",5,2025-07-25,CBE,Google Play,service abroad active account ethiopia anytime want support family easily send fund cbe bank abroad debit visa credit transfer bank recommend diaspora open bank account go home helps lot st easily send money abroad bank account ceb awashoromia bank nd not need family withdraw money use privacy
commercial bank of ethiopia is very helpful for all Ethiopian people that i respect ethio consititution,5,2025-07-25,CBE,Google Play,commercial bank ethiopia helpful ethiopian people respect ethio consititution
Great,5,2025-07-24,CBE,Google Play,great
there is many thing u have to fix.,1,2025-07-24,CBE,Google Play,thing u fix
"This is the best service, it makes everything easy for you, so why not download this app and if you are satisfied with it, give it five stars, it deserves it. 👍♥️❤️",5,2025-07-24,CBE,Google Play,good service make easy download app satisfied star deserve
"good job, but we need to see more transaction history.",4,2025-07-21,CBE,Google Play,good job need transaction history
full of restrictions,1,2025-07-20,CBE,Google Play,restriction
The best one,5,2025-07-20,CBE,Google Play,well
why i cant screen shoot ?,1,2025-07-20,CBE,Google Play,not screen shoot
Really excellent,5,2025-07-19,CBE,Google Play,excellent
it is good up to now but it needs update today,5,2025-07-18,CBE,Google Play,good need update today
this app good,4,2025-07-17,CBE,Google Play,app good
"I like this App b/s it's fast, clear, and secured. thank you",5,2025-07-17,CBE,Google Play,like app bs fast clear secured thank
"Although the UI is simple and easy to use. That does not mean anything if information is not consistent throughout the app, and most services are down most of the time. Also, I see that forcing the user to turn off Android Dev Settings to use the app is unnecessary and creates inconvenience for users who want to use their devices for Android development 🙄. If you have certain security requirements, you would rather prefer to restrict the minSdk (since recent android releases are secure).",1,2025-07-16,CBE,Google Play,ui simple easy use mean information consistent app service time force user turn android dev setting use app unnecessary create inconvenience user want use device android development certain security requirement prefer restrict minsdk recent android release secure
difficult to transfer between accounts even settling tax obligations. system error notification more frequent.,1,2025-07-16,CBE,Google Play,difficult transfer account settle tax obligation system error notification frequent
ebc app not work or unable to connect server,1,2025-07-15,CBE,Google Play,ebc app work unable connect server
i love this app,5,2025-07-14,CBE,Google Play,love app
"excellent application, user friendly...nice one",5,2025-07-14,CBE,Google Play,excellent application user friendlynice
why can't I transfer money to telebirr?,4,2025-07-12,CBE,Google Play,not transfer money telebirr
CBE Mobile Banking make us our life easier.,5,2025-07-12,CBE,Google Play,cbe mobile banking life easy
"I can't see my old transaction on this bank app just like other banks mobile apps example abissinya, tele birr, so please update this feature.",1,2025-07-12,CBE,Google Play,not old transaction bank app like bank mobile app example abissinya tele birr update feature
"it's a nice app""and buy to pay then simple for money transaction 10Q CBE.",5,2025-07-11,CBE,Google Play,nice appand buy pay simple money transaction q cbe
"The CBE MB app is best and updated with so many features from time to time,but it is impossible to download statements. if it is possible please add a statement download option for both the app and USSD.",2,2025-07-11,CBE,Google Play,cbe mb app well update feature time timebut impossible download statement possible add statement download option app ussd
It is user friendly.,4,2025-07-11,CBE,Google Play,user friendly
Application አንዳንዴ ቀርፋፋ ነው። ለምን ?,3,2025-07-10,CBE,Google Play,application
option app mobile banking,5,2025-07-09,CBE,Google Play,option app mobile banking
very poor and even not sho the balance and transaction history,1,2025-07-07,CBE,Google Play,poor sho balance transaction history
Good app,5,2025-07-07,CBE,Google Play,good app
this is very good app but what is bucket override i don't get,4,2025-07-06,CBE,Google Play,good app bucket override not
The best of mobile banking in Ethiopia 🇪🇹,5,2025-07-06,CBE,Google Play,good mobile banking ethiopia
"it's just a basic app, you could do a lot better I couldn't see my 2 months statement even",1,2025-07-06,CBE,Google Play,basic app lot well not month statement
Samsung s05 have no government utility payment options Please fix on the next update,1,2025-07-05,CBE,Google Play,samsung government utility payment option fix update
"It is developed in a simple way, but what if you add a notebook, like to save some info or other bank account number",4,2025-07-04,CBE,Google Play,develop simple way add notebook like save info bank account number
it's good app.,5,2025-07-03,CBE,Google Play,good app
It is fast and best service. Go a head!,5,2025-07-02,CBE,Google Play,fast good service head
"This app is not reliable for transferring money to other banks or money transfer apps. It will take your money but not deliver it, and for confirmation, it takes three days to refund.",2,2025-07-02,CBE,Google Play,app reliable transferring money bank money transfer app money deliver confirmation take day refund
it is best app,5,2025-07-02,CBE,Google Play,good app
"The worst Bank, system and app ever in Ethiopia.",1,2025-07-02,CBE,Google Play,bad bank system app ethiopia
please update the security policy. we can't take a SCREENSHOTS!,3,2025-07-02,CBE,Google Play,update security policy not screenshot
"It's a great application, but if you could improve it a bit, for example, by making it so that we can register and use it ourselves from the comfort of our own homes without having to go to a bank branch.",3,2025-07-01,CBE,Google Play,great application improve bit example make register use comfort home bank branch
its very nice app,5,2025-07-01,CBE,Google Play,nice app
fast and easy to use,3,2025-07-01,CBE,Google Play,fast easy use
I really like this application it's easy to use and reliable,5,2025-07-01,CBE,Google Play,like application easy use reliable
best application but is not available strong security .,5,2025-07-01,CBE,Google Play,good application available strong security
very good thanks for services,1,2025-06-30,CBE,Google Play,good thank service
I like this app bcz of this is very simple and easy to use,5,2025-06-29,CBE,Google Play,like app bcz simple easy use
this application not working properly and payment service and transfer money please fix dear bank developer it's more boring service now,3,2025-06-29,CBE,Google Play,application work properly payment service transfer money fix dear bank developer boring service
for the frist use the app is perfect but soon it begins to change the speed the massages and cost an arm and leg,1,2025-06-29,CBE,Google Play,frist use app perfect soon begin change speed massage cost arm leg
"trasaction history needs to be more detailed,",3,2025-06-28,CBE,Google Play,trasaction history need detailed
this app has a problem,1,2025-06-26,CBE,Google Play,app problem
Best of all,5,2025-06-26,CBE,Google Play,well
"I'll give 5 stars when the app has the function to see more than just a couple of transactions. Right now, you can not even go back one month and see prior transaction. That is a standard banking function that also CBE should have. Because of that only 1 Start.",1,2025-06-25,CBE,Google Play,ill star app function couple transaction right month prior transaction standard banking function cbe start
best of all,5,2025-06-25,CBE,Google Play,well
"The most unreliable banking app i ever used, the transactions are stuck halfway and i can't access my money then when you call the call center they ask that you wait 3-5 business days before they return the money what is the point off having a banking app if the transactions are unreliable and incomplete I'd rate less if i could.",1,2025-06-25,CBE,Google Play,unreliable banking app transaction stick halfway not access money center ask wait business day return money point banking app transaction unreliable incomplete d rate
for no reason my money is gone because the system keeps tell me failed than I tried to many times were my money is nowhere to be gone when I checked my balance I realise the money is gone,1,2025-06-25,CBE,Google Play,reason money go system keep tell fail try time money go check balance realise money go
we would appreciate it if the app can allow to take screensshot.,4,2025-06-24,CBE,Google Play,appreciate app allow screensshot
Easy to use and clear.,5,2025-06-24,CBE,Google Play,easy use clear
Easy to use,4,2025-06-23,CBE,Google Play,easy use
the best 👌,5,2025-06-23,CBE,Google Play,well
It is so god,5,2025-06-21,CBE,Google Play,god
it's my life,5,2025-06-21,CBE,Google Play,life
My special app and my proud bank of ETHIOPIA. nice to meet you my bank,5,2025-06-19,CBE,Google Play,special app proud bank ethiopia nice meet bank
great app,5,2025-06-19,CBE,Google Play,great app
"Am not able to make screenshot,",1,2025-06-18,CBE,Google Play,able screenshot
"Verily, it was very superior competitive to well known apps nowadays functioning in broader to its customers by simplest features that is Telebirr super app, Thus, CBE is my top ultimate choose that optimistically truly relaying to it, as far as concerned I am proudest when rating this by points, as a result of CBE service provisions via ethical principles and practices to customers satisfaction with texistence of constraints and challenges facing from burglary and froudalent hacker. Thank you !",5,2025-06-18,CBE,Google Play,verily superior competitive know app nowadays function broad customer simple feature telebirr super app cbe ultimate choose optimistically truly relay far concerned proud rating point result cbe service provision ethical principle practice customer satisfaction texistence constraint challenge face burglary froudalent hacker thank
setting ላይ mini statment ብታዘጋጁለት ቴሌብር app ላይ አለ የብዙ ቀን transaction አያሳይም የናንተ ። tnx,4,2025-06-17,CBE,Google Play,set mini statment app transaction tnx
"it makes my life easy, and I feel like it deserves a 4-star.",4,2025-06-16,CBE,Google Play,make life easy feel like deserve star
It's best app but Please add(included) water bill payment ?,4,2025-06-16,CBE,Google Play,good app addinclude water bill payment
very nice to use this app,5,2025-06-14,CBE,Google Play,nice use app
Good service and have lightly internet accessed,3,2025-06-14,CBE,Google Play,good service lightly internet access
the best mobile banking ever in Ethiopia,5,2025-06-13,CBE,Google Play,good mobile banking ethiopia
good app fast,5,2025-06-13,CBE,Google Play,good app fast
very good work cbe team well developed,5,2025-06-13,CBE,Google Play,good work cbe team develop
Excellent and easy to access and uptodate.,5,2025-06-13,CBE,Google Play,excellent easy access uptodate
Best mobile banking app in Ethiopian banking industry. Keep up CBE,5,2025-06-12,CBE,Google Play,good mobile banking app ethiopian banking industry cbe
it's very helpful app in any way in and out of the county of Ethiopia good luck,5,2025-06-12,CBE,Google Play,helpful app way county ethiopia good luck
So bad now and hard to use,5,2025-06-09,CBE,Google Play,bad hard use
"it is so amazing app. but, it is better to update it to access without any internet fees. just make it to open by free internet service when we open data connection.",5,2025-06-09,CBE,Google Play,amazing app well update access internet fee open free internet service open datum connection
very good app,1,2025-06-09,CBE,Google Play,good app
Very amazing app indeed. I'm enjoying it,5,2025-06-08,CBE,Google Play,amazing app m enjoy
A great app. It's like carrying a bank in your pocket.,4,2025-06-07,CBE,Google Play,great app like carry bank pocket
More than garrantty bank EBC.,4,2025-06-07,CBE,Google Play,garrantty bank ebc
really am happy to this app it is Siple to use everything,5,2025-06-07,CBE,Google Play,happy app siple use
I liked this app. But the User interface is very basic and not attractive at all.,2,2025-06-07,CBE,Google Play,like app user interface basic attractive
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06,CBE,Google Play,not atms support accounttoaccount transfer like country kenya nigeria south africa
what is this app problem???,1,2025-06-05,CBE,Google Play,app problem
the app is proactive and a good connections.,5,2025-06-05,CBE,Google Play,app proactive good connection
I cannot send to cbebirr app. through this app.,3,2025-06-05,CBE,Google Play,send cbebirr app app
not functional,1,2025-06-05,CBE,Google Play,functional
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,CBE,Google Play,everytime uninstall app reach physically oldy s security layer d check fraud attempt app source directlysource app store play store etc implicitly physical presence app install traditionaltraditionally rare
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,CBE,Google Play,good app issue like not right bank issue transfer
best app of finance,5,2025-06-04,CBE,Google Play,good app finance
it is not safety,1,2025-06-03,CBE,Google Play,safety
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,CBE,Google Play,like childish app well worst see
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,CBE,Google Play,problem solver application ahead cbe love
It's good but try to make it facilitate for your client,4,2025-06-02,CBE,Google Play,good try facilitate client
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,CBE,Google Play,app develop good way comment need prevent screenshot likely good like coz need screenshot quick evidence good access recent transaction history day coz not bank person old transaction add colander category user easily access old transaction colander
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,CBE,Google Play,recently big problem send safaricom telebir cbebirr wallet anybody responsible fix frustrating day money not return take account not send mpesa update correct send money m afraid send
"it,s good app and time manager 👍",5,2025-05-30,CBE,Google Play,good app time manager
lower system everything,3,2025-05-30,CBE,Google Play,low system
Keep it up My CBE,5,2025-05-29,CBE,Google Play,cbe
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,CBE,Google Play,app year problem stop work month ago try transfer fund give error not transaction inactive account
i like everything of this app,5,2025-05-27,CBE,Google Play,like app
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,CBE,Google Play,cbe good financial application dimple use like thank developer application appreciate app
it's awesome!!,5,2025-05-25,CBE,Google Play,awesome
thankyou every one,5,2025-05-25,CBE,Google Play,thankyou
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,CBE,Google Play,app absolutely fantastic love enjoying let support foundation
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,CBE,Google Play,cbe app highly unreliable recent week frequently fail work properly ethio telecom safaricom network wifi mobile datum week system entirely extend period make difficult access banking service app function intermittently lack consistency frustrating hope issue address soon nontechnical influence remove essential service
mortuary app,5,2025-05-25,CBE,Google Play,mortuary app
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,CBE,Google Play,smart app stop period time device reason
amazing app I am used this app for one year,4,2025-05-24,CBE,Google Play,amazing app app year
It makes life easy!👌,5,2025-05-24,CBE,Google Play,make life easy
its not fast,1,2025-05-24,CBE,Google Play,fast
accessible to using,5,2025-05-23,CBE,Google Play,accessible
why you change default network?,5,2025-05-23,CBE,Google Play,change default network
how to I get my money,5,2025-05-23,CBE,Google Play,money
"Very bad, can't even load they need to improve their services.",1,2025-05-22,CBE,Google Play,bad not load need improve service
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,CBE,Google Play,good app reliable crash
very busy I don't know why... I prefer 889,3,2025-05-22,CBE,Google Play,busy not know prefer
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,CBE,Google Play,nasty lag hour fix rest
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,CBE,Google Play,boring mobil banking application ethiopiaplease use alternative private bank mobile banking app
user-friendly apps.because this app is easy.,5,2025-05-22,CBE,Google Play,userfriendly appsbecause app easy
"Very good app,",5,2025-05-22,CBE,Google Play,good app
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22,CBE,Google Play,sync problem date stack help pls
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22,CBE,Google Play,app nice
I hate this app 😒,1,2025-05-22,CBE,Google Play,hate app
"This app is good, and we are using it well",1,2025-05-21,CBE,Google Play,app good
very nice 👌 app for android phone,5,2025-05-21,CBE,Google Play,nice app android phone
easy to use helpful in my life,5,2025-05-21,CBE,Google Play,easy use helpful life
the best mobile banking app,5,2025-05-21,CBE,Google Play,good mobile banking app
"this app is very useful app,it saves time,and it is secure",4,2025-05-21,CBE,Google Play,app useful appit save timeand secure
it's a good application 👍,5,2025-05-21,CBE,Google Play,good application
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21,CBE,Google Play,screenshot reffresh option annoying make transaction delay activity
poor service,1,2025-05-21,CBE,Google Play,poor service
it is reliable and easy to use.,5,2025-05-20,CBE,Google Play,reliable easy use
the most annoying mobile banking app I've ever seen,1,2025-05-20,CBE,Google Play,annoying mobile banking app ve see
"i can't make Screenshout in this app, please made modification",5,2025-05-20,CBE,Google Play,not screenshout app modification
Amazing applicatiom sometimes doesnt work!,5,2025-05-18,CBE,Google Play,amazing applicatiom not work
well satisfied with this beautiful app,5,2025-05-18,CBE,Google Play,satisfied beautiful app
"not working,why???",5,2025-05-17,CBE,Google Play,workingwhy
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17,CBE,Google Play,great impact developer option turnoff fix
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,CBE,Google Play,disappoint especially ios similar local application extremely superior application disappointing
"Good ,easy to use",5,2025-05-16,CBE,Google Play,good easy use
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14,CBE,Google Play,kindly ask update app allow screenshot convenient efficient long add security access reason block screenshoote screen
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13,CBE,Google Play,cbe mobile banking app overall appreciate feutere ve nottice turn developer option divice appstop function prorerly itwould great look issue l need access developer set otter application thankyou attention matter
customer service is bad nothing is good about this bank,1,2025-05-13,CBE,Google Play,customer service bad good bank
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13,CBE,Google Play,amazing mobile banking appbut screenshot receipt not work
fast and simple easy to use 👌,5,2025-05-12,CBE,Google Play,fast simple easy use
The fastest transferring app I ever had its so reliable,5,2025-05-11,CBE,Google Play,fast transfer app reliable
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,CBE,Google Play,fund transfer bank reflect account confirmation text message receive
it's easy and fast,5,2025-05-10,CBE,Google Play,easy fast
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,CBE,Google Play,app not self activation look near cbe branch s disgust
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,CBE,Google Play,hello dearest cbe office personnel benefit interest free account thank help
wow best application ever,5,2025-05-09,CBE,Google Play,wow good application
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,CBE,Google Play,sorry developer mode application hack sure developer stupid not make sense
the pride of Ethiopian bank 🏦,5,2025-05-08,CBE,Google Play,pride ethiopian bank
why the app telling me to turn of developer options please fix it.,1,2025-05-07,CBE,Google Play,app tell turn developer option fix
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,2025-05-07,CBE,Google Play,happy small prob transfer not transfer cashe bil dic
All service of Mobile Banking,5,2025-05-06,CBE,Google Play,service mobile banking
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06,CBE,Google Play,miss old not send mony bank
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,2025-05-06,CBE,Google Play,app recently crush time open try transfersit good lesson dashen super app ethiotelecom befitting experience glory invst make friendly convenient considering leave cbe good
good but these week not oky,4,2025-05-06,CBE,Google Play,good week oky
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06,CBE,Google Play,design fix bug step verification biometric simply great
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,CBE,Google Play,developer read fix screenshot functionality download button work flawlessly touch time
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",5,2025-05-05,CBE,Google Play,great jobbut thing not place transfer bank face like mobile charge card place
it's very low quality application,1,2025-05-04,CBE,Google Play,low quality application
Very Amazing Apps,5,2025-05-04,CBE,Google Play,amazing app
wow simple life,5,2025-05-04,CBE,Google Play,wow simple life
it's nice,5,2025-05-03,CBE,Google Play,nice
Why stacked sometimes,5,2025-05-03,CBE,Google Play,stack
okay 👍 but sometimes busy,1,2025-05-03,CBE,Google Play,okay busy
the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03,CBE,Google Play,bad commercial company fail normal thing
Very good app. but disappointed by general cessation of system.,5,2025-05-02,CBE,Google Play,good app disappoint general cessation system
Good and fast,5,2025-05-02,CBE,Google Play,good fast
Best the best fast,5,2025-05-02,CBE,Google Play,well good fast
fast and reliable,5,2025-05-02,CBE,Google Play,fast reliable
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,4,2025-05-02,CBE,Google Play,good app problem not send money telebirr mpesa add use
its good and simple to use,5,2025-05-02,CBE,Google Play,good simple use
worest app like that bank for security and network access,1,2025-05-02,CBE,Google Play,wor app like bank security network access
it's the best app i,5,2025-05-02,CBE,Google Play,good app
its very nice,5,2025-05-02,CBE,Google Play,nice
It crashes frequently,4,2025-04-30,CBE,Google Play,crash frequently
the best,5,2025-04-28,CBE,Google Play,well
"I can simply describe this app as ""Making all your work easier"".",5,2025-04-28,CBE,Google Play,simply describe app make work easier
best appearance,5,2025-04-27,CBE,Google Play,good appearance
it's very good 👍 app,5,2025-04-27,CBE,Google Play,good app
I need support you,5,2025-04-27,CBE,Google Play,need support
the worst Mobile banking i have ever seen in my life,1,2025-04-26,CBE,Google Play,bad mobile banking see life
the Best,1,2025-04-26,CBE,Google Play,well
to other bank is bad,1,2025-04-25,CBE,Google Play,bank bad
its good but add more features such like. bank statement showing,5,2025-04-24,CBE,Google Play,good add feature like bank statement show
it is so nice,5,2025-04-24,CBE,Google Play,nice
"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",2,2025-04-21,CBE,Google Play,frequent experience cbe app criticaltime failure suspend payment air day zero explanation deduct sender account deposit receiver act fatal error banking company app forcedbanke corporation consent employersuser correspond corporation
Great app,5,2025-04-21,CBE,Google Play,great app
well app,5,2025-04-20,CBE,Google Play,app
Actually it is inactive,4,2025-04-19,CBE,Google Play,actually inactive
"slow, only one account is used",2,2025-04-19,CBE,Google Play,slow account
always CBE is the leading Commercial Bank💪💪💪,5,2025-04-18,CBE,Google Play,cbe lead commercial bank
why removing screenshot feature why?,1,2025-04-18,CBE,Google Play,remove screenshot feature
nice apps where network is good in connection,5,2025-04-18,CBE,Google Play,nice app network good connection
Thank you!!!,5,2025-04-18,CBE,Google Play,thank
i can't take screenshot,1,2025-04-18,CBE,Google Play,not screenshot
"every update was made the system better and better until the March 19th, 2025 update, not allowing us to screenshot. you guys didn't understand how much it's a really quick and significant thing. You add extra steps to us, which makes the process draw back",3,2025-04-18,CBE,Google Play,update system well well march th update allow screenshot guy not understand quick significant thing add extra step make process draw
perfectly special,5,2025-04-18,CBE,Google Play,perfectly special
Fast and Reliable,5,2025-04-18,CBE,Google Play,fast reliable
The best application I have ever seen in Ethiopia banking industry.,5,2025-04-17,CBE,Google Play,good application see ethiopia banking industry
"Absolutely the best app! It works flawlessly, anytime and anywhere.",5,2025-04-17,CBE,Google Play,absolutely good app work flawlessly anytime
very nice app ever!!!,5,2025-04-16,CBE,Google Play,nice app
the best app,5,2025-04-16,CBE,Google Play,good app
Biometric security for mobile banking is not available,5,2025-04-16,CBE,Google Play,biometric security mobile banking available
"In the updated version of the app, it takes more time to download the receipt.",3,2025-04-15,CBE,Google Play,update version app take time download receipt
very interesting app i am using every day fantastic,5,2025-04-14,CBE,Google Play,interesting app day fantastic
Can't scan/recognize other banks' Interoperable QR Codes,1,2025-04-13,CBE,Google Play,not scanrecognize bank interoperable qr code
everthing wellbeok,3,2025-04-13,CBE,Google Play,everthe wellbeok
"""This mobile banking app is fast and user-friendly, but the only issue I encountered is that I can't access my bank statement within the app. I kindly request that this feature be added, similar to what is offered by other private bank mobile banking apps.",4,2025-04-13,CBE,Google Play,mobile banking app fast userfriendly issue encounter not access bank statement app kindly request feature add similar offer private bank mobile banking app
why did this app is not screenshot,5,2025-04-12,CBE,Google Play,app screenshot
it so good app,5,2025-04-12,CBE,Google Play,good app
"less network, specially to make fee for utility purpose",1,2025-04-11,CBE,Google Play,network specially fee utility purpose
simply for used,4,2025-04-11,CBE,Google Play,simply
its great app but when updating we can't take screen shot please try to fix it,3,2025-04-10,CBE,Google Play,great app updating not screen shot try fix
everything is easy thank you cebe,5,2025-04-10,CBE,Google Play,easy thank cebe
but this app says can't sync,5,2025-04-09,CBE,Google Play,app say not sync
work on screen shot system,4,2025-04-08,CBE,Google Play,work screen shot system
very very nice aplication,1,2025-04-08,CBE,Google Play,nice aplication
wonder full and it is easy to use,5,2025-04-08,CBE,Google Play,wonder easy use
easy and reliable,2,2025-04-08,CBE,Google Play,easy reliable
it is Very Useful app 👍,5,2025-04-07,CBE,Google Play,useful app
commerial Bank,5,2025-04-06,CBE,Google Play,commerial bank
it is good but it doesn't allow screen shot,4,2025-04-06,CBE,Google Play,good not allow screen shot
the best one,5,2025-04-06,CBE,Google Play,well
You need to copy many things from other bank apps like Amole(Dashen),2,2025-04-06,CBE,Google Play,need copy thing bank app like amoledashen
bring back the screenshot feature.,1,2025-04-05,CBE,Google Play,bring screenshot feature
best app to experience him that to smooth transaction among the customers,1,2025-04-05,CBE,Google Play,good app experience smooth transaction customer
nice app suitable to use it. the only weak side is it need data connections and hoping will be fixed to offline i gave 4 rate,4,2025-04-05,CBE,Google Play,nice app suitable use weak need data connection hope fix offline give rate
easy to use,5,2025-04-05,CBE,Google Play,easy use
"Good job to the CBE team on this mobile app! It's designed in a way that's simple and intuitive to navigate, which is great for everyone. It effectively handles the essential banking tasks I need to perform regularly. It's a practical and reliable tool that makes everyday banking much more convenient. Thank you for this useful application.",5,2025-04-04,CBE,Google Play,good job cbe team mobile app design way s simple intuitive navigate great effectively handle essential banking task need perform regularly practical reliable tool make everyday bank convenient thank useful application
before it was smooth and good. this time after the new update in 2025 i can not make screenshot of my recite. even the downlod button is very delayed in putting my recite in my gallery for simple proof. please fix this i am unable to show proof of payment to my clients. thankyou.,3,2025-04-04,CBE,Google Play,smooth good time new update screenshot recite downlod button delay put recite gallery simple proof fix unable proof payment client thankyou
cool ❤,4,2025-04-04,CBE,Google Play,cool
this app is very necessary app many people found it,5,2025-04-03,CBE,Google Play,app necessary app people find
cbe very active Bank I'm using CBE app very very satisfaction,5,2025-04-03,CBE,Google Play,cbe active bank m cbe app satisfaction
It made life alot easier. I cant even imagine having to make all those transactions in person. So this app was crucial for me. Very good app. well done.,5,2025-04-03,CBE,Google Play,life alot easy not imagine transaction person app crucial good app
thankyou,5,2025-04-02,CBE,Google Play,thankyou
"I don't understand the reason, why I need to disable developer options to access the app, it has no security risks nor does it hinder the app's functionalities. This goes out to the dev, I hope your life is filled with inconveniences.",1,2025-04-02,CBE,Google Play,not understand reason need disable developer option access app security risk hinder app functionality go dev hope life fill inconvenience
it's great,5,2025-04-02,CBE,Google Play,great
very good app and stars faction with work,5,2025-04-02,CBE,Google Play,good app star faction work
It is excelent,5,2025-04-01,CBE,Google Play,excelent
very interesting app,5,2025-04-01,CBE,Google Play,interesting app
the most useful,5,2025-04-01,CBE,Google Play,useful
I am more satisfied in this app . More sure you have to secure.,4,2025-04-01,CBE,Google Play,satisfied app sure secure
"very good, but sometimes NUR CBE comes without my consent. even if I choose locked, it appears",4,2025-04-01,CBE,Google Play,good nur cbe come consent choose locked appear
always we relay on,5,2025-04-01,CBE,Google Play,relay
I'm lucky to have this🙏 thank you CBE.,5,2025-04-01,CBE,Google Play,m lucky thank cbe
it's need more improvement like Tellbirr.,4,2025-04-01,CBE,Google Play,need improvement like tellbirr
a very nice app.👍👍👍,5,2025-04-01,CBE,Google Play,nice app
it's good app,5,2025-04-01,CBE,Google Play,good app
